,id,n_victimas,año,mes,dia,fecha,hora,franja_hora,comuna,tipo_calle,cruce,geocodificacion_CABA,longitud,latitud,victima,acusado,gravedad,vehiculo,sexo,edad
11792,LC-2020-0002346,1,2020,January,2,2020-01-02,01:00:00 p.m.,13,2,AVENIDA,si,Point (106797.883397132 104615.00964936),-58.389203129482,-34.587646270159,CICLISTA,AUTO,leve,CICLISTA,varon,61-70
11793,LC-2020-0003142,1,2020,January,2,2020-01-02,04:15:00 p.m.,16,3,CALLE,no,Point (105393.859084365 102333.999776285),-58.404492539573,-34.608216527535,CICLISTA,AUTO,leve,CICLISTA,varon,31-40
11795,LC-2020-0004057,1,2020,January,3,2020-01-03,03:20:00 a.m.,3,15,CALLE,si,Point (101609.477757533 103183.144235567),-58.445753737126,-34.600574687554,CICLISTA,AUTO,leve,CICLISTA,varon,21-30
11796,LC-2020-0004991,1,2020,January,3,2020-01-03,12:00:00 p.m.,12,4,CALLE,si,Point (105227.781738843 98665.3391749365),-58.406280836490,-34.641288112398,CICLISTA,SD,leve,CICLISTA,mujer,21-30
11797,LC-2020-0005104,1,2020,January,3,2020-01-03,01:00:00 p.m.,13,4,AVENIDA,no,Point (109269.255431175 99825.1922440774),-58.362213383248,-34.630804417342,CICLISTA,SD,leve,CICLISTA,varon,31-40
11798,LC-2020-0005389,1,2020,January,3,2020-01-03,01:30:00 p.m.,13,14,AVENIDA,no,Point (105012.522254721 105185.455369613),-58.408666752182,-34.582514184732,MOTO,CICLISTA,leve,MOTO,varon,21-30
11799,LC-2020-0006408,1,2020,January,3,2020-01-03,09:30:00 p.m.,21,15,CALLE,si,Point (98536.5406498828 105187.697470956),-58.479250131233,-34.582504811925,CICLISTA,MOVIL,leve,CICLISTA,varon,31-40
11800,LC-2020-0006530,1,2020,January,4,2020-01-04,09:55:00 a.m.,9,14,AVENIDA,si,Point (105044.144082703 104738.222968819),-58.408319471806,-34.586545585325,CICLISTA,SD,leve,CICLISTA,mujer,41-50
11801,LC-2020-0007386,1,2020,January,4,2020-01-04,03:40:00 p.m.,15,9,CALLE,no,Point (95333.7651975928 98065.5413468762),-58.514197623621,-34.646697085725,PEATON,CICLISTA,leve,PEATON,mujer,71-80
11802,LC-2020-0009145,1,2020,January,5,2020-01-05,09:30:00 p.m.,21,2,AVENIDA,si,Point (105547.605528476 103708.62443504),-58.402825196249,-34.595824269206,CICLISTA,AUTO,leve,CICLISTA,varon,31-40
11803,LC-2020-0009835,1,2020,January,6,2020-01-06,10:10:00 a.m.,10,1,CALLE,si,Point (106869.21740116 100478.065377604),-58.388392381074,-34.624937924803,CICLISTA,CAMIONETA,leve,CICLISTA,varon,21-30
11805,LC-2020-0014194,1,2020,January,7,2020-01-07,18:00:00,18,SD,SD,no,SD,SD,SD,CICLISTA,SD,leve,CICLISTA,varon,11-20
11806,LC-2020-0014353,1,2020,January,7,2020-01-07,05:30:00 p.m.,17,2,CALLE,si,Point (105584.569535095 104246.042090377),-58.402425751072,-34.590979554343,CICLISTA,AUTO,leve,CICLISTA,mujer,31-40
11807,LC-2020-0015351,1,2020,January,8,2020-01-08,09:15:00 p.m.,21,10,CALLE,si,Point (95686.223837088 101156.530221388),-58.510337198913,-34.618835304698,CICLISTA,SD,leve,CICLISTA,mujer,21-30
11809,LC-2020-0016458,1,2020,January,8,2020-01-08,03:00:00 p.m.,15,9,CALLE,si,Point (94622.1001284961 97982.9634914525),-58.521960742033,-34.647437946729,CICLISTA,CAMIONETA,leve,CICLISTA,mujer,71-80
11810,LC-2020-0016725,1,2020,January,8,2020-01-08,05:00:00 p.m.,17,15,CALLE,no,Point (101828.8960264 103062.116603747),-58.443361470828,-34.601665326781,CICLISTA,CAMIONETA,leve,CICLISTA,varon,21-30
11812,LC-2020-0018772,1,2020,January,9,2020-01-09,02:55:00 p.m.,14,14,CALLE,no,Point (103949.073949093 103592.480926003),-58.420250241486,-34.596878542980,CICLISTA,SD,leve,CICLISTA,varon,51-60
11813,LC-2020-0019258,1,2020,January,9,2020-01-09,04:57:00 p.m.,16,15,AVENIDA,si,Point (100272.313364866 104833.497107453),-58.460331410971,-34.585698833823,CICLISTA,AUTO,leve,CICLISTA,varon,41-50
